x	y
7853	22376
7617	22513
7854	22648
7618	22785
7855	22920
7619	23057
7856	23192
7620	23328
7857	23464
7621	23600
7857	23735
7621	23872
7858	24007
7622	24144
7859	24279
7623	24416
7860	24551
7624	24688
7861	24823
7625	24960
7862	25095
7626	25231
7863	25367
7627	25503
7864	25638
7627	25775
7864	25910
7628	26047
7865	26182
7629	26319
7866	26454
7630	26591
7867	26726
7631	26862
7868	26998
7632	27134
7869	27269
7633	27406
7870	27541
7634	27678
7870	27813
7634	27950
7871	28085
7635	28222
7872	28357
7636	28493
7873	28629
7637	28765
7874	28900
7638	29037
7875	29172
7639	29309
7876	29444
8057	12182
8294	12317
8058	12453
8295	12589
8059	12725
8296	12860
8060	12997
8297	13132
8061	13269
8298	13404
8062	13541
8298	13676
8062	13813
8299	13948
8063	14084
8300	14220
8064	14356
8301	14491
8065	14628
8302	14763
8066	14900
8303	15035
8067	15172
8304	15307
8068	15444
8305	15579
8068	15716
8305	15851
8069	15987
8306	16123
8070	16259
8307	16394
8071	16531
8308	16666
8072	16803
8309	16938
8073	17075
8310	17210
8074	17347
8311	17482
8075	17618
8311	17754
8075	17890
8312	18025
8076	18162
8313	18297
8077	18434
8314	18569
8078	18706
8315	18841
8079	18978
8316	19113
8080	19249
8317	19385
8081	19521
8318	19656
8081	19793
8318	19928
8082	20065
8319	20200
8083	20337
8320	20472
8084	20609
8321	20744
8085	20880
8322	21016
8086	21152
8323	21287
8087	21424
8324	21559
8087	21696
8324	21831
8088	21968
8325	22103
8089	22240
8326	22375
8090	22511
8327	22647
8091	22783
8328	22918
8092	23055
8329	23190
8093	23327
8330	23462
8094	23599
8330	23734
8094	23871
8331	24006
8095	24143
8332	24278
8096	24414
8333	24550
8097	24686
8334	24821
8098	24958
8335	25093
8099	25230
8336	25365
8100	25502
8337	25637
8100	25774
8337	25909
8101	26045
8338	26181
8102	26317
8339	26452
8103	26589
8340	26724
8104	26861
8341	26996
8105	27133
8342	27268
8106	27405
8343	27540
8107	27676
8343	27812
8107	27948
8344	28083
8108	28220
8345	28355
8109	28492
8346	28627
8110	28764
8347	28899
8111	29036
8348	29171
8112	29307
8349	29443
8530	12180
8767	12315
8531	12452
8768	12587
8532	12724
8769	12859
8533	12996
8770	13131
8534	13267
8771	13403
8535	13539
8771	13674
8535	13811
8772	13946
8536	14083
8773	14218
8537	14355
8774	14490
8538	14627
8775	14762
8539	14898
8776	15034
8540	15170
8777	15305
8541	15442
8778	15577
8541	15714
8778	15849
8542	15986
8779	16121
8543	16258
8780	16393
8544	16530
8781	16665
8545	16801
8782	16937
8546	17073
8783	17208
8547	17345
8784	17480
8548	17617
8784	17752
8548	17889
8785	18024
8549	18161
8786	18296
8550	18432
8787	18568
8551	18704
8788	18839
8552	18976
8789	19111
8553	19248
8790	19383
8554	19520
8791	19655
8554	19792
8791	19927
8555	20063
8792	20199
8556	20335
8793	20470
8557	20607
8794	20742
8558	20879
8795	21014
8559	21151
8796	21286
8560	21423
8797	21558
8560	21694
8797	21830
8561	21966
8798	22101
8562	22238
8799	22373
8563	22510
8800	22645
8564	22782
8801	22917
8565	23054
8802	23189
8566	23325
8803	23461
8567	23597
8803	23732
8567	23869
8804	24004
8568	24141
8805	24276
8569	24413
8806	24548
8570	24685
8807	24820
8571	24957
8808	25092
8572	25228
8809	25364
8573	25500
8810	25635
8573	25772
8810	25907
8574	26044
8811	26179
8575	26316
8812	26451
8576	26588
8813	26723
8577	26859
8814	26995
8578	27131
8815	27266
8579	27403
8816	27538
8580	27675
8816	27810
8580	27947
8817	28082
8581	28219
8818	28354
8582	28490
8819	28626
8583	28762
8820	28897
8584	29034
8821	29169
8585	29306
8822	29441
9003	12179
9240	12314
9004	12450
9241	12586
9005	12722
9242	12857
9006	12994
9243	13129
9007	13266
9244	13401
9008	13538
9244	13673
9008	13810
9245	13945
9009	14081
9246	14217
9010	14353
9247	14488
9011	14625
9248	14760
9012	14897
9249	15032
9013	15169
9250	15304
9014	15441
9251	15576
9014	15712
9251	15848
9015	15984
9252	16119
9016	16256
9253	16391
9017	16528
9254	16663
9018	16800
9255	16935
9019	17072
9256	17207
9020	17344
9257	17479
9021	17615
9257	17751
9021	17887
9258	18022
9022	18159
9259	18294
9023	18431
9260	18566
9024	18703
9261	18838
9025	18975
9262	19110
9026	19246
9263	19382
9027	19518
9264	19653
9027	19790
9264	19925
9028	20062
9265	20197
9029	20334
9266	20469
9030	20606
9267	20741
9031	20877
9268	21013
9032	21149
9269	21284
9033	21421
9270	21556
9033	21693
9270	21828
9034	21965
9271	22100
9035	22237
9272	22372
9036	22508
9273	22644
9037	22780
9274	22915
9038	23052
9275	23187
9039	23324
9276	23459
9040	23596
9276	23731
9040	23868
9277	24003
9041	24139
9278	24275
9042	24411
9279	24547
9043	24683
9280	24818
9044	24955
9281	25090
9045	25227
9282	25362
9046	25499
9283	25634
9046	25771
9283	25906
9047	26042
9284	26178
9048	26314
9285	26449
9049	26586
9286	26721
9050	26858
9287	26993
9051	27130
9288	27265
9052	27402
9289	27537
9053	27673
9289	27809
9053	27945
9290	28080
9054	28217
9291	28352
9055	28489
9292	28624
9056	28761
9293	28896
9057	29033
9294	29168
9058	29304
9295	29440
9476	12177
9713	12312
9477	12449
9714	12584
9478	12721
9715	12856
9479	12993
9716	13128
9480	13264
9717	13400
9481	13536
9717	13671
9481	13808
9718	13943
9482	14080
9719	14215
9483	14352
9720	14487
9484	14624
9721	14759
9485	14895
9722	15031
9486	15167
9723	15302
9487	15439
9724	15574
9487	15711
9724	15846
9488	15983
9725	16118
9489	16255
9726	16390
9490	16527
9727	16662
9491	16798
9728	16934
9492	17070
9729	17205
9493	17342
9730	17477
9494	17614
9730	17749
9494	17886
9731	18021
9495	18158
9732	18293
9496	18429
9733	18565
9497	18701
9734	18836
9498	18973
9735	19108
9499	19245
9736	19380
9500	19517
9737	19652
9500	19789
9737	19924
9501	20060
9738	20196
9502	20332
9739	20467
9503	20604
9740	20739
9504	20876
9741	21011
9505	21148
9742	21283
9506	21420
9743	21555
9506	21691
9743	21827
9507	21963
9744	22098
9508	22235
9745	22370
9509	22507
9746	22642
9510	22779
9747	22914
9511	23051
9748	23186
9512	23322
9749	23458
9513	23594
9749	23729
9513	23866
9750	24001
9514	24138
9751	24273
9515	24410
9752	24545
9516	24682
9753	24817
9517	24954
9754	25089
9518	25225
9755	25361
9519	25497
9756	25632
9519	25769
9756	25904
9520	26041
9757	26176
9521	26313
9758	26448
9522	26585
9759	26720
9523	26856
9760	26992
9524	27128
9761	27263
9525	27400
9762	27535
9526	27672
9762	27807
9526	27944
9763	28079
9527	28216
9764	28351
9528	28487
9765	28623
9529	28759
9766	28894
9530	29031
9767	29166
9531	29303
9768	29438
9949	12176
10186	12311
9950	12447
10187	12583
9951	12719
10188	12854
9952	12991
10189	13126
9953	13263
10190	13398
9954	13535
10190	13670
9954	13807
10191	13942
9955	14078
10192	14214
9956	14350
10193	14485
9957	14622
10194	14757
9958	14894
10195	15029
9959	15166
10196	15301
9960	15438
10197	15573
9960	15709
10197	15845
9961	15981
10198	16116
9962	16253
10199	16388
9963	16525
10200	16660
9964	16797
10201	16932
9965	17069
10202	17204
9966	17341
10203	17476
9967	17612
10203	17748
9967	17884
10204	18019
9968	18156
10205	18291
9969	18428
10206	18563
9970	18700
10207	18835
9971	18972
10208	19107
9972	19243
10209	19379
9973	19515
10210	19650
9973	19787
10210	19922
9974	20059
10211	20194
9975	20331
10212	20466
9976	20603
10213	20738
9977	20874
10214	21010
9978	21146
10215	21281
9979	21418
10216	21553
9979	21690
10216	21825
9980	21962
10217	22097
9981	22234
10218	22369
9982	22505
10219	22641
9983	22777
10220	22912
9984	23049
10221	23184
9985	23321
10222	23456
9986	23593
10222	23728
9986	23865
10223	24000
9987	24136
10224	24272
9988	24408
10225	24543
9989	24680
10226	24815
9990	24952
10227	25087
9991	25224
10228	25359
9992	25496
10229	25631
9992	25768
10229	25903
9993	26039
10230	26175
9994	26311
10231	26446
9995	26583
10232	26718
9996	26855
10233	26990
9997	27127
10234	27262
9998	27399
10235	27534
9999	27670
10235	27806
9999	27942
10236	28077
10000	28214
10237	28349
10001	28486
10238	28621
10002	28758
10239	28893
10003	29030
10240	29165
10004	29301
10241	29437
10422	12174
10659	12309
10423	12446
10660	12581
10424	12718
10661	12853
10425	12990
10662	13125
10426	13261
10663	13397
10427	13533
10663	13668
10427	13805
10664	13940
10428	14077
10665	14212
10429	14349
10666	14484
10430	14621
10667	14756
10431	14892
10668	15028
10432	15164
10669	15299
10433	15436
10670	15571
10433	15708
10670	15843
10434	15980
10671	16115
